date,count,uniques
2026-06-03,186,53
2026-06-04,213,86
2026-06-05,131,69
2026-06-06,55,22
2026-06-07,22,12
2026-06-08,73,42
2026-06-09,154,52
2026-06-10,111,54
2026-06-11,108,55
2026-06-12,117,59
2026-06-13,80,41
2026-06-14,121,48
2026-06-15,143,62
2026-06-16,149,58
2026-06-17,100,56
2026-06-18,61,29
2026-06-19,42,19
2026-06-20,22,17
2026-06-21,240,37
2026-06-22,46,24
2026-06-23,30,21
2026-06-24,158,25
2026-06-25,24,18
2026-06-26,87,29
2026-06-27,178,40
2026-06-28,86,40
2026-06-29,123,66
2026-06-30,112,67
2026-07-01,207,84
2026-07-02,91,49
2026-07-03,177,85
2026-07-04,44,32
2026-07-05,50,31
2026-07-06,79,55
2026-07-07,122,56
2026-07-08,123,49
2026-07-09,74,49
2026-07-10,170,69
